




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	33	4	.44	+	9.15	1.34E-03	1.53E-02
carbohydrate derivative catabolic process (GO:1901136)	192	9	2.54	+	3.54	1.36E-03	1.55E-02
modulation of chemical synaptic transmission (GO:0050804)	454	15	6.01	+	2.50	1.37E-03	1.57E-02
positive regulation of protein localization to plasma membrane (GO:1903078)	58	5	.77	+	6.51	1.39E-03	1.59E-02
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	58	5	.77	+	6.51	1.39E-03	1.59E-02
regulation of muscle hypertrophy (GO:0014743)	58	5	.77	+	6.51	1.39E-03	1.58E-02
regulation of trans-synaptic signaling (GO:0099177)	455	15	6.02	+	2.49	1.40E-03	1.60E-02
regulation of gliogenesis (GO:0014013)	120	7	1.59	+	4.41	1.42E-03	1.62E-02
response to transforming growth factor beta (GO:0071559)	156	8	2.07	+	3.87	1.45E-03	1.65E-02
negative regulation of ion transport (GO:0043271)	156	8	2.07	+	3.87	1.45E-03	1.65E-02
nitrogen compound transport (GO:0071705)	1870	41	24.76	+	1.66	1.45E-03	1.65E-02
positive regulation of animal organ morphogenesis (GO:0110110)	88	6	1.17	+	5.15	1.47E-03	1.67E-02
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	88	6	1.17	+	5.15	1.47E-03	1.66E-02
regulation of steroid biosynthetic process (GO:0050810)	88	6	1.17	+	5.15	1.47E-03	1.66E-02
positive regulation of muscle cell differentiation (GO:0051149)	88	6	1.17	+	5.15	1.47E-03	1.66E-02
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	34	4	.45	+	8.89	1.48E-03	1.68E-02
prostaglandin metabolic process (GO:0006693)	34	4	.45	+	8.89	1.48E-03	1.68E-02
prostanoid metabolic process (GO:0006692)	34	4	.45	+	8.89	1.48E-03	1.68E-02
embryonic digestive tract development (GO:0048566)	34	4	.45	+	8.89	1.48E-03	1.67E-02
positive regulation of ERBB signaling pathway (GO:1901186)	34	4	.45	+	8.89	1.48E-03	1.67E-02
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	34	4	.45	+	8.89	1.48E-03	1.67E-02
somatic cell DNA recombination (GO:0016444)	34	4	.45	+	8.89	1.48E-03	1.67E-02
skeletal system development (GO:0001501)	506	16	6.70	+	2.39	1.49E-03	1.67E-02
negative regulation of tumor necrosis factor production (GO:0032720)	59	5	.78	+	6.40	1.49E-03	1.68E-02
response to fungus (GO:0009620)	59	5	.78	+	6.40	1.49E-03	1.68E-02
cellular response to metal ion (GO:0071248)	195	9	2.58	+	3.49	1.51E-03	1.69E-02
placenta development (GO:0001890)	157	8	2.08	+	3.85	1.51E-03	1.69E-02
sensory perception of chemical stimulus (GO:0007606)	535	0	7.08	-	 < 0.01	1.52E-03	1.71E-02
protein deubiquitination (GO:0016579)	278	11	3.68	+	2.99	1.55E-03	1.73E-02
negative regulation of response to wounding (GO:1903035)	89	6	1.18	+	5.09	1.55E-03	1.74E-02
mesonephros development (GO:0001823)	89	6	1.18	+	5.09	1.55E-03	1.73E-02
regulation of response to endoplasmic reticulum stress (GO:1905897)	89	6	1.18	+	5.09	1.55E-03	1.73E-02
pyrimidine ribonucleoside metabolic process (GO:0046131)	15	3	.20	+	15.11	1.56E-03	1.74E-02
positive regulation of macrophage differentiation (GO:0045651)	15	3	.20	+	15.11	1.56E-03	1.74E-02
regulation of podosome assembly (GO:0071801)	15	3	.20	+	15.11	1.56E-03	1.74E-02
positive regulation of interleukin-8 biosynthetic process (GO:0045416)	15	3	.20	+	15.11	1.56E-03	1.74E-02
negative regulation of nitric oxide biosynthetic process (GO:0045019)	15	3	.20	+	15.11	1.56E-03	1.73E-02
positive regulation of hormone metabolic process (GO:0032352)	15	3	.20	+	15.11	1.56E-03	1.73E-02
negative regulation of nitric oxide metabolic process (GO:1904406)	15	3	.20	+	15.11	1.56E-03	1.73E-02
positive regulation of macrophage chemotaxis (GO:0010759)	15	3	.20	+	15.11	1.56E-03	1.73E-02
negative regulation of gene silencing by miRNA (GO:0060965)	15	3	.20	+	15.11	1.56E-03	1.73E-02
male sex differentiation (GO:0046661)	158	8	2.09	+	3.82	1.57E-03	1.74E-02
multi-organism reproductive process (GO:0044703)	998	26	13.21	+	1.97	1.58E-03	1.75E-02
positive regulation of interleukin-1 production (GO:0032732)	60	5	.79	+	6.29	1.60E-03	1.77E-02
negative regulation of transmembrane transport (GO:0034763)	123	7	1.63	+	4.30	1.63E-03	1.80E-02
fatty acid derivative biosynthetic process (GO:1901570)	90	6	1.19	+	5.04	1.64E-03	1.81E-02
positive regulation of signaling receptor activity (GO:2000273)	35	4	.46	+	8.63	1.64E-03	1.81E-02
somatic diversification of immunoglobulins (GO:0016445)	35	4	.46	+	8.63	1.64E-03	1.81E-02
negative regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0071930)	3	2	.04	+	50.35	1.66E-03	1.83E-02
regulation of nitrogen utilization (GO:0006808)	3	2	.04	+	50.35	1.66E-03	1.83E-02
fever generation (GO:0001660)	3	2	.04	+	50.35	1.66E-03	1.83E-02
regulation of renal output by angiotensin (GO:0002019)	3	2	.04	+	50.35	1.66E-03	1.83E-02
regulation of tumor necrosis factor (ligand) superfamily member 11 production (GO:2000307)	3	2	.04	+	50.35	1.66E-03	1.83E-02
G2 phase (GO:0051319)	3	2	.04	+	50.35	1.66E-03	1.82E-02
monocyte aggregation (GO:0070487)	3	2	.04	+	50.35	1.66E-03	1.82E-02
PMA-inducible membrane protein ectodomain proteolysis (GO:0051088)	3	2	.04	+	50.35	1.66E-03	1.82E-02
mitotic G2 phase (GO:0000085)	3	2	.04	+	50.35	1.66E-03	1.82E-02
peptide antigen transport (GO:0046968)	3	2	.04	+	50.35	1.66E-03	1.82E-02
MDA-5 signaling pathway (GO:0039530)	3	2	.04	+	50.35	1.66E-03	1.82E-02
negative regulation of complement-dependent cytotoxicity (GO:1903660)	3	2	.04	+	50.35	1.66E-03	1.82E-02
lysosomal membrane organization (GO:0097212)	3	2	.04	+	50.35	1.66E-03	1.82E-02
positive regulation of B cell apoptotic process (GO:0002904)	3	2	.04	+	50.35	1.66E-03	1.81E-02
regulation of chronic inflammatory response to antigenic stimulus (GO:0002874)	3	2	.04	+	50.35	1.66E-03	1.81E-02
negative regulation of tau-protein kinase activity (GO:1902948)	3	2	.04	+	50.35	1.66E-03	1.81E-02
negative regulation of syncytium formation by plasma membrane fusion (GO:0034242)	3	2	.04	+	50.35	1.66E-03	1.81E-02
generation of precursor metabolites and energy (GO:0006091)	417	14	5.52	+	2.54	1.71E-03	1.86E-02
SMAD protein signal transduction (GO:0060395)	61	5	.81	+	6.19	1.71E-03	1.87E-02
positive regulation of wound healing (GO:0090303)	61	5	.81	+	6.19	1.71E-03	1.87E-02
carbohydrate derivative metabolic process (GO:1901135)	1017	26	13.47	+	1.93	1.76E-03	1.91E-02
positive regulation of cell junction assembly (GO:1901890)	36	4	.48	+	8.39	1.80E-03	1.96E-02
regulation of T cell apoptotic process (GO:0070232)	36	4	.48	+	8.39	1.80E-03	1.96E-02
regulation of phagocytosis (GO:0050764)	92	6	1.22	+	4.93	1.82E-03	1.98E-02
negative regulation of lipid metabolic process (GO:0045833)	92	6	1.22	+	4.93	1.82E-03	1.98E-02
fatty acid derivative metabolic process (GO:1901568)	162	8	2.14	+	3.73	1.82E-03	1.98E-02
positive regulation of SMAD protein signal transduction (GO:0060391)	16	3	.21	+	14.16	1.83E-03	1.99E-02
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	16	3	.21	+	14.16	1.83E-03	1.99E-02
regulation of metallopeptidase activity (GO:1905048)	16	3	.21	+	14.16	1.83E-03	1.98E-02
positive regulation of T cell chemotaxis (GO:0010820)	16	3	.21	+	14.16	1.83E-03	1.98E-02
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	16	3	.21	+	14.16	1.83E-03	1.98E-02
regulation of extracellular matrix disassembly (GO:0010715)	16	3	.21	+	14.16	1.83E-03	1.98E-02
positive regulation of type 2 immune response (GO:0002830)	16	3	.21	+	14.16	1.83E-03	1.98E-02
regulation of chromosome organization (GO:0033044)	374	13	4.95	+	2.63	1.84E-03	1.99E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	126	7	1.67	+	4.20	1.85E-03	2.00E-02
endocrine system development (GO:0035270)	126	7	1.67	+	4.20	1.85E-03	2.00E-02
cellular oxidant detoxification (GO:0098869)	93	6	1.23	+	4.87	1.92E-03	2.06E-02
regulation of Wnt signaling pathway (GO:0030111)	376	13	4.98	+	2.61	1.93E-03	2.08E-02
monosaccharide metabolic process (GO:0005996)	203	9	2.69	+	3.35	1.96E-03	2.11E-02
regulation of polysaccharide biosynthetic process (GO:0032885)	37	4	.49	+	8.16	1.98E-03	2.12E-02
negative regulation of gene silencing (GO:0060969)	37	4	.49	+	8.16	1.98E-03	2.12E-02
cellular response to peptide (GO:1901653)	333	12	4.41	+	2.72	2.05E-03	2.20E-02
release of sequestered calcium ion into cytosol (GO:0051209)	64	5	.85	+	5.90	2.09E-03	2.24E-02
kidney epithelium development (GO:0072073)	129	7	1.71	+	4.10	2.10E-03	2.26E-02
hematopoietic progenitor cell differentiation (GO:0002244)	95	6	1.26	+	4.77	2.12E-03	2.27E-02
cellular response to ketone (GO:1901655)	95	6	1.26	+	4.77	2.12E-03	2.27E-02
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)	17	3	.23	+	13.33	2.13E-03	2.28E-02
negative regulation of posttranscriptional gene silencing (GO:0060149)	17	3	.23	+	13.33	2.13E-03	2.28E-02
positive regulation of amyloid-beta formation (GO:1902004)	17	3	.23	+	13.33	2.13E-03	2.28E-02
positive regulation of icosanoid secretion (GO:0032305)	17	3	.23	+	13.33	2.13E-03	2.28E-02
positive regulation of chemokine secretion (GO:0090197)	17	3	.23	+	13.33	2.13E-03	2.28E-02
regulation of amyloid-beta clearance (GO:1900221)	17	3	.23	+	13.33	2.13E-03	2.28E-02
negative regulation of gene silencing by RNA (GO:0060967)	17	3	.23	+	13.33	2.13E-03	2.27E-02
regulation of necroptotic process (GO:0060544)	17	3	.23	+	13.33	2.13E-03	2.27E-02
regulation of cytoskeleton organization (GO:0051493)	563	17	7.45	+	2.28	2.16E-03	2.30E-02
receptor signaling pathway via JAK-STAT (GO:0007259)	38	4	.50	+	7.95	2.16E-03	2.30E-02
maternal placenta development (GO:0001893)	38	4	.50	+	7.95	2.16E-03	2.30E-02
pyrimidine nucleoside metabolic process (GO:0006213)	38	4	.50	+	7.95	2.16E-03	2.30E-02
peptidyl-cysteine modification (GO:0018198)	38	4	.50	+	7.95	2.16E-03	2.29E-02
regulation of cell division (GO:0051302)	167	8	2.21	+	3.62	2.18E-03	2.32E-02
tissue morphogenesis (GO:0048729)	564	17	7.47	+	2.28	2.18E-03	2.32E-02
negative regulation of growth (GO:0045926)	248	10	3.28	+	3.05	2.19E-03	2.32E-02
regulation of stem cell proliferation (GO:0072091)	65	5	.86	+	5.81	2.23E-03	2.36E-02
mitochondrial membrane organization (GO:0007006)	131	7	1.73	+	4.04	2.28E-03	2.42E-02
mammary gland development (GO:0030879)	131	7	1.73	+	4.04	2.28E-03	2.42E-02
antigen receptor-mediated signaling pathway (GO:0050851)	294	11	3.89	+	2.83	2.36E-03	2.49E-02
regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)	39	4	.52	+	7.75	2.36E-03	2.49E-02
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	39	4	.52	+	7.75	2.36E-03	2.49E-02
positive regulation of lipid transport (GO:0032370)	66	5	.87	+	5.72	2.37E-03	2.50E-02
negative regulation of sequestering of calcium ion (GO:0051283)	66	5	.87	+	5.72	2.37E-03	2.50E-02
positive regulation of cell killing (GO:0031343)	66	5	.87	+	5.72	2.37E-03	2.50E-02
alpha-beta T cell activation (GO:0046631)	66	5	.87	+	5.72	2.37E-03	2.49E-02
cell fate commitment (GO:0045165)	251	10	3.32	+	3.01	2.38E-03	2.51E-02
protein modification by small protein removal (GO:0070646)	295	11	3.91	+	2.82	2.42E-03	2.54E-02
negative regulation of MAPK cascade (GO:0043409)	170	8	2.25	+	3.55	2.43E-03	2.55E-02
regulation of chromatin organization (GO:1902275)	210	9	2.78	+	3.24	2.44E-03	2.56E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	98	6	1.30	+	4.62	2.46E-03	2.58E-02
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	4	2	.05	+	37.76	2.47E-03	2.58E-02
regulation of MyD88-dependent toll-like receptor signaling pathway (GO:0034124)	4	2	.05	+	37.76	2.47E-03	2.58E-02
positive regulation of cell adhesion molecule production (GO:0060355)	4	2	.05	+	37.76	2.47E-03	2.58E-02
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	4	2	.05	+	37.76	2.47E-03	2.58E-02
negative regulation of T-helper 2 cell cytokine production (GO:2000552)	4	2	.05	+	37.76	2.47E-03	2.58E-02
apoptotic process involved in blood vessel morphogenesis (GO:1902262)	4	2	.05	+	37.76	2.47E-03	2.58E-02
brain renin-angiotensin system (GO:0002035)	4	2	.05	+	37.76	2.47E-03	2.57E-02
renin-angiotensin regulation of aldosterone production (GO:0002018)	4	2	.05	+	37.76	2.47E-03	2.57E-02
regulation of hydrogen peroxide catabolic process (GO:2000295)	4	2	.05	+	37.76	2.47E-03	2.57E-02
nerve growth factor processing (GO:0032455)	4	2	.05	+	37.76	2.47E-03	2.57E-02
regulation of Golgi inheritance (GO:0090170)	4	2	.05	+	37.76	2.47E-03	2.57E-02
sequestering of triglyceride (GO:0030730)	4	2	.05	+	37.76	2.47E-03	2.57E-02
positive regulation of hyaluronan biosynthetic process (GO:1900127)	4	2	.05	+	37.76	2.47E-03	2.56E-02
negative regulation of extracellular matrix disassembly (GO:0010716)	4	2	.05	+	37.76	2.47E-03	2.56E-02
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)	4	2	.05	+	37.76	2.47E-03	2.56E-02
response to carbon monoxide (GO:0034465)	4	2	.05	+	37.76	2.47E-03	2.56E-02
blood coagulation, extrinsic pathway (GO:0007598)	4	2	.05	+	37.76	2.47E-03	2.56E-02
negative regulation of digestive system process (GO:0060457)	18	3	.24	+	12.59	2.47E-03	2.56E-02
negative regulation of anoikis (GO:2000811)	18	3	.24	+	12.59	2.47E-03	2.55E-02
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	18	3	.24	+	12.59	2.47E-03	2.55E-02
cellular response to ATP (GO:0071318)	18	3	.24	+	12.59	2.47E-03	2.55E-02
regulation of chemokine secretion (GO:0090196)	18	3	.24	+	12.59	2.47E-03	2.55E-02
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	18	3	.24	+	12.59	2.47E-03	2.55E-02
positive regulation of steroid biosynthetic process (GO:0010893)	18	3	.24	+	12.59	2.47E-03	2.55E-02
positive regulation of cell growth (GO:0030307)	171	8	2.26	+	3.53	2.51E-03	2.59E-02
regulation of oxidative stress-induced cell death (GO:1903201)	67	5	.89	+	5.64	2.52E-03	2.60E-02
negative regulation of cytokine secretion (GO:0050710)	67	5	.89	+	5.64	2.52E-03	2.60E-02
positive regulation of DNA replication (GO:0045740)	40	4	.53	+	7.55	2.57E-03	2.65E-02
regulation of digestive system process (GO:0044058)	40	4	.53	+	7.55	2.57E-03	2.64E-02
positive regulation of bone mineralization (GO:0030501)	40	4	.53	+	7.55	2.57E-03	2.64E-02
pyrimidine-containing compound catabolic process (GO:0072529)	40	4	.53	+	7.55	2.57E-03	2.64E-02
regulation of striated muscle tissue development (GO:0016202)	134	7	1.77	+	3.95	2.58E-03	2.65E-02
cytosolic calcium ion transport (GO:0060401)	99	6	1.31	+	4.58	2.58E-03	2.65E-02
regulation of actomyosin structure organization (GO:0110020)	99	6	1.31	+	4.58	2.58E-03	2.65E-02
regulation of anion transport (GO:0044070)	99	6	1.31	+	4.58	2.58E-03	2.64E-02
gonad development (GO:0008406)	212	9	2.81	+	3.21	2.59E-03	2.66E-02
regulation of protein binding (GO:0043393)	213	9	2.82	+	3.19	2.67E-03	2.74E-02
carboxylic acid biosynthetic process (GO:0046394)	299	11	3.96	+	2.78	2.67E-03	2.74E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	100	6	1.32	+	4.53	2.70E-03	2.77E-02
organic acid biosynthetic process (GO:0016053)	300	11	3.97	+	2.77	2.74E-03	2.80E-02
neuron development (GO:0048666)	827	22	10.95	+	2.01	2.77E-03	2.83E-02
regulation of macroautophagy (GO:0016241)	174	8	2.30	+	3.47	2.78E-03	2.84E-02
platelet activation (GO:0030168)	136	7	1.80	+	3.89	2.79E-03	2.85E-02
negative regulation of lymphocyte mediated immunity (GO:0002707)	41	4	.54	+	7.37	2.79E-03	2.84E-02
embryo implantation (GO:0007566)	41	4	.54	+	7.37	2.79E-03	2.84E-02
response to nitric oxide (GO:0071731)	19	3	.25	+	11.93	2.83E-03	2.88E-02
regulation of interleukin-8 biosynthetic process (GO:0045414)	19	3	.25	+	11.93	2.83E-03	2.88E-02
somatic diversification of immunoglobulins involved in immune response (GO:0002208)	19	3	.25	+	11.93	2.83E-03	2.88E-02
somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)	19	3	.25	+	11.93	2.83E-03	2.87E-02
modulation by virus of host cellular process (GO:0019054)	19	3	.25	+	11.93	2.83E-03	2.87E-02
glycine metabolic process (GO:0006544)	19	3	.25	+	11.93	2.83E-03	2.87E-02
isotype switching (GO:0045190)	19	3	.25	+	11.93	2.83E-03	2.87E-02
positive regulation of endothelial cell apoptotic process (GO:2000353)	19	3	.25	+	11.93	2.83E-03	2.87E-02
interferon-gamma production (GO:0032609)	19	3	.25	+	11.93	2.83E-03	2.86E-02
positive regulation of fatty acid transport (GO:2000193)	19	3	.25	+	11.93	2.83E-03	2.86E-02
leukocyte tethering or rolling (GO:0050901)	19	3	.25	+	11.93	2.83E-03	2.86E-02
macrophage migration (GO:1905517)	19	3	.25	+	11.93	2.83E-03	2.86E-02
response to muscle stretch (GO:0035994)	19	3	.25	+	11.93	2.83E-03	2.86E-02
late endosomal microautophagy (GO:0061738)	19	3	.25	+	11.93	2.83E-03	2.86E-02
positive regulation of T-helper 1 type immune response (GO:0002827)	19	3	.25	+	11.93	2.83E-03	2.85E-02
positive regulation of cell cycle phase transition (GO:1901989)	101	6	1.34	+	4.49	2.83E-03	2.86E-02
response to cAMP (GO:0051591)	101	6	1.34	+	4.49	2.83E-03	2.86E-02
multicellular organismal reproductive process (GO:0048609)	831	22	11.00	+	2.00	2.84E-03	2.86E-02
regulation of muscle tissue development (GO:1901861)	137	7	1.81	+	3.86	2.90E-03	2.92E-02
ion transport (GO:0006811)	1342	31	17.77	+	1.74	2.91E-03	2.92E-02
negative regulation of small molecule metabolic process (GO:0062014)	102	6	1.35	+	4.44	2.97E-03	2.98E-02
gland morphogenesis (GO:0022612)	102	6	1.35	+	4.44	2.97E-03	2.98E-02
regulation of muscle organ development (GO:0048634)	138	7	1.83	+	3.83	3.01E-03	3.03E-02
embryonic organ development (GO:0048568)	445	14	5.89	+	2.38	3.02E-03	3.03E-02
unsaturated fatty acid biosynthetic process (GO:0006636)	42	4	.56	+	7.19	3.03E-03	3.03E-02
negative regulation of interleukin-6 production (GO:0032715)	42	4	.56	+	7.19	3.03E-03	3.03E-02
negative regulation of epithelial cell differentiation (GO:0030857)	42	4	.56	+	7.19	3.03E-03	3.03E-02
positive regulation of binding (GO:0051099)	177	8	2.34	+	3.41	3.08E-03	3.08E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	446	14	5.91	+	2.37	3.08E-03	3.08E-02
multicellular organism reproduction (GO:0032504)	843	22	11.16	+	1.97	3.09E-03	3.09E-02
development of primary sexual characteristics (GO:0045137)	218	9	2.89	+	3.12	3.10E-03	3.10E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	103	6	1.36	+	4.40	3.11E-03	3.10E-02
regulation of Notch signaling pathway (GO:0008593)	103	6	1.36	+	4.40	3.11E-03	3.10E-02
positive regulation of bone resorption (GO:0045780)	20	3	.26	+	11.33	3.22E-03	3.21E-02
toll-like receptor 4 signaling pathway (GO:0034142)	20	3	.26	+	11.33	3.22E-03	3.21E-02
regulation of antigen processing and presentation (GO:0002577)	20	3	.26	+	11.33	3.22E-03	3.21E-02
regulation of monocyte differentiation (GO:0045655)	20	3	.26	+	11.33	3.22E-03	3.21E-02
regulation of hair follicle development (GO:0051797)	20	3	.26	+	11.33	3.22E-03	3.20E-02
regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091)	20	3	.26	+	11.33	3.22E-03	3.20E-02
negative regulation of T cell apoptotic process (GO:0070233)	20	3	.26	+	11.33	3.22E-03	3.20E-02
eosinophil chemotaxis (GO:0048245)	20	3	.26	+	11.33	3.22E-03	3.20E-02
positive regulation of cellular response to oxidative stress (GO:1900409)	20	3	.26	+	11.33	3.22E-03	3.20E-02
amyloid-beta metabolic process (GO:0050435)	20	3	.26	+	11.33	3.22E-03	3.19E-02
leukocyte adhesion to vascular endothelial cell (GO:0061756)	20	3	.26	+	11.33	3.22E-03	3.19E-02
positive regulation of bone remodeling (GO:0046852)	20	3	.26	+	11.33	3.22E-03	3.19E-02
negative regulation of lipid storage (GO:0010888)	20	3	.26	+	11.33	3.22E-03	3.19E-02
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	20	3	.26	+	11.33	3.22E-03	3.19E-02
positive regulation of T cell cytokine production (GO:0002726)	20	3	.26	+	11.33	3.22E-03	3.18E-02
signal transduction in response to DNA damage (GO:0042770)	104	6	1.38	+	4.36	3.25E-03	3.21E-02
response to estradiol (GO:0032355)	140	7	1.85	+	3.78	3.25E-03	3.21E-02
positive regulation of protein acetylation (GO:1901985)	43	4	.57	+	7.03	3.27E-03	3.23E-02
regulation of polysaccharide metabolic process (GO:0032881)	43	4	.57	+	7.03	3.27E-03	3.23E-02
glycosyl compound catabolic process (GO:1901658)	43	4	.57	+	7.03	3.27E-03	3.23E-02
positive regulation of response to wounding (GO:1903036)	72	5	.95	+	5.24	3.38E-03	3.32E-02
regulation of protein acetylation (GO:1901983)	72	5	.95	+	5.24	3.38E-03	3.32E-02
positive regulation of apoptotic DNA fragmentation (GO:1902512)	5	2	.07	+	30.21	3.42E-03	3.37E-02
connective tissue replacement involved in inflammatory response wound healing (GO:0002248)	5	2	.07	+	30.21	3.42E-03	3.36E-02
positive regulation of T-helper 1 cell cytokine production (GO:2000556)	5	2	.07	+	30.21	3.42E-03	3.36E-02
regulation of T-helper 1 cell cytokine production (GO:2000554)	5	2	.07	+	30.21	3.42E-03	3.36E-02
interleukin-10 production (GO:0032613)	5	2	.07	+	30.21	3.42E-03	3.36E-02
heat generation (GO:0031649)	5	2	.07	+	30.21	3.42E-03	3.35E-02
positive regulation of interferon-beta secretion (GO:0035549)	5	2	.07	+	30.21	3.42E-03	3.35E-02
connective tissue replacement (GO:0097709)	5	2	.07	+	30.21	3.42E-03	3.35E-02
receptor-mediated virion attachment to host cell (GO:0046813)	5	2	.07	+	30.21	3.42E-03	3.35E-02
positive regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002925)	5	2	.07	+	30.21	3.42E-03	3.35E-02
glial cell apoptotic process (GO:0034349)	5	2	.07	+	30.21	3.42E-03	3.34E-02
vascular wound healing (GO:0061042)	5	2	.07	+	30.21	3.42E-03	3.34E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	482	0	6.38	-	 < 0.01	3.43E-03	3.35E-02
divalent inorganic cation transport (GO:0072511)	310	11	4.10	+	2.68	3.48E-03	3.40E-02
regulation of actin filament-based process (GO:0032970)	404	13	5.35	+	2.43	3.50E-03	3.41E-02
regulation of bone resorption (GO:0045124)	44	4	.58	+	6.87	3.54E-03	3.44E-02
negative regulation of cell migration (GO:0030336)	266	10	3.52	+	2.84	3.55E-03	3.46E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	106	6	1.40	+	4.28	3.56E-03	3.46E-02
positive regulation of lipase activity (GO:0060193)	73	5	.97	+	5.17	3.57E-03	3.47E-02
regulation of mitochondrial membrane potential (GO:0051881)	73	5	.97	+	5.17	3.57E-03	3.47E-02
animal organ regeneration (GO:0031100)	73	5	.97	+	5.17	3.57E-03	3.47E-02
negative regulation of protein transport (GO:0051224)	182	8	2.41	+	3.32	3.62E-03	3.51E-02
oxidation-reduction process (GO:0055114)	965	24	12.78	+	1.88	3.63E-03	3.52E-02
regulation of production of small RNA involved in gene silencing by RNA (GO:0070920)	21	3	.28	+	10.79	3.65E-03	3.54E-02
negative regulation of chemokine production (GO:0032682)	21	3	.28	+	10.79	3.65E-03	3.53E-02
regulation of icosanoid secretion (GO:0032303)	21	3	.28	+	10.79	3.65E-03	3.53E-02
G1 phase (GO:0051318)	21	3	.28	+	10.79	3.65E-03	3.53E-02
negative regulation of cardiocyte differentiation (GO:1905208)	21	3	.28	+	10.79	3.65E-03	3.53E-02
mitotic G1 phase (GO:0000080)	21	3	.28	+	10.79	3.65E-03	3.52E-02
positive regulation of protein export from nucleus (GO:0046827)	21	3	.28	+	10.79	3.65E-03	3.52E-02
eosinophil migration (GO:0072677)	21	3	.28	+	10.79	3.65E-03	3.52E-02
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	21	3	.28	+	10.79	3.65E-03	3.52E-02
antigen processing and presentation (GO:0019882)	224	9	2.97	+	3.03	3.68E-03	3.55E-02
head development (GO:0060322)	790	21	10.46	+	2.01	3.77E-03	3.63E-02
regulation of nervous system process (GO:0031644)	144	7	1.91	+	3.67	3.77E-03	3.63E-02
regulation of epithelial cell differentiation (GO:0030856)	144	7	1.91	+	3.67	3.77E-03	3.63E-02
regulation of erythrocyte differentiation (GO:0045646)	45	4	.60	+	6.71	3.81E-03	3.67E-02
icosanoid biosynthetic process (GO:0046456)	45	4	.60	+	6.71	3.81E-03	3.66E-02
regulation of actin cytoskeleton organization (GO:0032956)	361	12	4.78	+	2.51	3.86E-03	3.71E-02
icosanoid metabolic process (GO:0006690)	108	6	1.43	+	4.20	3.88E-03	3.73E-02
protein catabolic process (GO:0030163)	705	19	9.33	+	2.04	3.94E-03	3.78E-02
regulation of bone mineralization (GO:0030500)	75	5	.99	+	5.04	3.98E-03	3.82E-02
connective tissue development (GO:0061448)	227	9	3.01	+	2.99	4.00E-03	3.83E-02
regulation of cell cycle arrest (GO:0071156)	109	6	1.44	+	4.16	4.05E-03	3.88E-02
positive regulation of synaptic transmission (GO:0050806)	146	7	1.93	+	3.62	4.05E-03	3.88E-02
regulation of glycoprotein metabolic process (GO:1903018)	46	4	.61	+	6.57	4.10E-03	3.92E-02
somatic diversification of immune receptors (GO:0002200)	46	4	.61	+	6.57	4.10E-03	3.92E-02
negative regulation of smooth muscle cell proliferation (GO:0048662)	46	4	.61	+	6.57	4.10E-03	3.92E-02
negative regulation of establishment of protein localization (GO:1904950)	186	8	2.46	+	3.25	4.10E-03	3.92E-02
negative regulation of tissue remodeling (GO:0034104)	22	3	.29	+	10.30	4.10E-03	3.92E-02
